Nom_Legume,Eau_Hebdo_L_m2,Eau_Cycle_L_m2,Prix_graine,Rendement_kg_m2,Densite_pied_m2,Recolte_jours,Prix_Marche_kg,Empreinte_co2_kg, CO2_Supermarche_kg,Gain_Brut_m2,CO2_m2,CO2_Supermarche_m2,Cout_Eau_m2,CO2_Economise_m2
Tomate,25,400,2.03,9.0,3.0,120.0,6.263,222.0,626.0,56.367,1998.0,5634.0,1.8760000000000003,3636.0
Carotte,15,200,2.06,5.5,80.0,170.0,2.8866666666666667,82.8,396.0,15.876666666666667,455.4,2178.0,0.9380000000000002,1722.6
Courgette,30,350,2.18,15.0,1.0,90.0,3.9791666666666665,181.0,499.0,59.6875,2715.0,7485.0,1.6415000000000002,4770.0
Concombre,30,380,2.15,3.5,2.5,105.0,5.0200000000000005,196.0,512.0,17.57,686.0,1792.0,1.7822,1106.0
Poireau,18,250,2.3,3.75,66.0,180.0,4.664166666666667,211.0,611.0,17.490625,791.25,2291.25,1.1725,1500.0
Pomme de terre,15,250,2.45,6.0,8.0,120.0,3.0416666666666665,102.0,706.0,18.25,612.0,4236.0,1.1725,3624.0
Laitue,20,150,1.86,3.0,12.0,90.0,3.3200000000000003,181.0,868.0,9.96,543.0,2604.0,0.7035000000000001,2061.0
Potimarron,25,350,2.18,3.5,1.0,90.0,3.24875,205.0,638.0,11.370624999999999,717.5,2233.0,1.6415000000000002,1515.5
Butternut,25,350,2.1,3.0,1.0,120.0,3.1277777777777778,205.0,638.0,9.383333333333333,615.0,1914.0,1.6415000000000002,1299.0
